resource,read,write,conflicts
A,24,11,0
B,33,0,0
C,37,1,0
D,40,1,0
E,25,1,0
F,26,10,0
G,30,1,0
H,41,2,0
I,28,0,0
J,32,0,0
K,30,1,0
L,26,0,0
M,29,3,0
N,46,0,0
O,28,0,0
P,32,1,0
Q,29,4,0
R,27,1,0
S,14,19,1
T,38,3,1
U,34,2,0
V,30,0,0
W,29,3,0
X,18,19,1
Y,19,2,0
Z,33,0,0
