resource,read,write,conflicts
A,98,34,4
B,116,8,0
C,104,6,0
D,113,3,0
E,103,34,7
F,75,38,2
G,113,7,0
H,109,5,0
I,125,4,0
J,127,8,0
K,119,12,0
L,119,8,1
M,114,17,0
N,111,4,0
O,80,14,0
P,96,19,5
Q,120,4,0
R,112,5,0
S,88,36,4
T,113,10,0
U,87,7,0
V,102,2,0
W,60,34,1
X,85,40,1
Y,106,5,0
Z,109,7,0
