resource,read,write,conflicts
A,31,3,0
B,31,2,0
C,27,2,0
D,35,3,0
E,31,15,1
F,20,20,2
G,24,2,0
H,29,2,0
I,27,3,0
J,31,2,0
K,37,1,0
L,30,1,0
M,40,2,0
N,36,3,1
O,35,1,0
P,30,3,0
Q,38,1,0
R,39,2,0
S,18,7,0
T,28,1,0
U,25,1,0
V,26,1,0
W,28,17,0
X,14,8,1
Y,25,1,0
Z,34,0,0
